bin,mean_prediction,actual_rate,count
0,0.02697754828667566,0.014074595355383532,1421
1,0.16216426603026898,0.10408163265306122,490
2,0.26251473675602977,0.17164179104477612,402
3,0.36128948074176764,0.24008810572687225,454
4,0.460196655724867,0.3727810650887574,338
5,0.555367182823581,0.486652977412731,487
6,0.6620004440155084,0.6132930513595166,331
7,0.7613557516657897,0.7730496453900709,282
8,0.8614302944680183,0.919431279620853,211
9,0.9747653717661715,0.9839080459770115,435
